striker,player_name,batting_hand,total_runs,top_score,hundreds,fiftys,matches,average,total_balls,total_six,total_four,strike_rate
413,KH Pandya,Left-hand bat,480,86,0,1,19,25.26,313,20,46,153.35
414,AD Nath,Right-hand bat,20,12,0,0,4,5,28,0,1,71.43
415,MJ Guptill,Right-hand bat,189,50,0,1,10,18.9,143,8,20,132.17
416,KJ Abbott,Right-hand bat,13,12,0,0,3,4.33,8,1,0,162.5
417,TM Head,Left-hand bat,205,75,0,1,10,20.5,151,8,12,135.76
418,M Ashwin,Right-hand bat,0,0,0,0,1,0,1,0,0,0
419,NS Naik,Right-hand bat,23,22,0,0,2,11.5,33,0,1,69.7
420,RR Pant,Left-hand bat,564,97,0,3,24,23.5,381,30,47,148.03
421,SW Billings,Right-hand bat,226,55,0,2,10,22.6,173,5,23,130.64
422,KC Cariappa,Right-hand bat,15,12,0,0,4,3.75,18,1,0,83.33
423,PSP Handscomb,Right-hand bat,6,6,0,0,1,6,12,0,0,50
424,Swapnil Singh,Right-hand bat,12,10,0,0,3,4,20,0,0,60
425,J Yadav,Right-hand bat,6,5,0,0,2,3,12,0,0,50
426,UT Khawaja,Left-hand bat,127,30,0,0,6,21.17,105,3,14,120.95
427,HM Amla,Right-hand bat,577,104,2,3,16,36.06,418,21,60,138.04
428,F Behardien,Right-hand bat,14,9,0,0,3,4.67,13,0,2,107.69
429,BB Sran,Left-hand bat,4,2,0,0,3,1.33,4,0,0,100
430,A Zampa,Right-hand bat,5,5,0,0,2,2.5,8,0,1,62.5
431,N Rana,Left-hand bat,437,70,0,4,15,29.13,355,25,31,123.1
432,S Kaushik,Right-hand bat,0,0,0,0,1,0,1,0,0,0
433,ER Dwivedi,Right-hand bat,24,19,0,0,2,12,15,2,2,160
434,CJ Jordan,Right-hand bat,3,3,0,0,2,1.5,5,0,0,60
452,S Badree,Right-hand bat,13,8,0,0,5,2.6,25,0,0,52
455,V Shankar,Right-hand bat,101,63,0,1,4,25.25,77,1,12,131.17
458,TA Boult,Right-hand bat,5,5,0,0,1,5,8,0,0,62.5
461,AF Milne,Right-hand bat,7,5,0,0,3,2.33,12,0,0,58.33
462,Kuldeep Yadav,Left-hand bat,20,16,0,0,2,10,22,0,2,90.91
465,DL Chahar,Right-hand bat,14,14,0,0,1,14,6,2,0,233.33
470,A Choudhary,Right-hand bat,25,15,0,0,3,8.33,20,1,1,125
471,AJ Tye,Right-handed,53,25,0,0,3,17.67,30,3,4,176.67
472,Ankit Soni,Right-hand bat,7,7,0,0,3,2.33,9,1,0,77.78
473,AR Bawne,Right-hand bat,12,12,0,0,1,12,12,0,1,100
476,BA Stokes,Left-hand bat,316,103,1,1,11,28.73,227,15,22,139.21
477,Basil Thampi,Right-hand bat,28,13,0,0,5,5.6,30,1,1,93.33
478,C de Grandhomme,Right-hand bat,126,36,0,0,9,14,92,6,10,136.96
479,CR Woakes,Right-hand bat,46,18,0,0,7,6.57,47,1,4,97.87
480,DM Bravo,Left-hand bat,6,6,0,0,1,6,5,0,1,120
481,JJ Roy,Right-hand bat,59,31,0,0,3,19.67,41,1,9,143.9
482,K Rabada,Left-hand bat,55,44,0,0,3,18.33,68,1,5,80.88
483,LH Ferguson,Right-hand bat,1,1,0,0,1,1,1,0,0,100
485,Mohammad Nabi,Right-hand bat,2,2,0,0,1,2,3,0,0,66.67
488,RA Tripathi,Right-hand bat,391,93,0,2,14,27.93,275,17,43,142.18
489,Rashid Khan,Right-hand bat,11,6,0,0,3,3.67,9,1,0,122.22
490,RD Chahar,Right-hand bat,3,3,0,0,1,3,2,0,0,150
491,SP Jackson,Right-hand bat,38,16,0,0,3,12.67,31,0,5,122.58
495,TS Mills,Right-hand bat,8,6,0,0,3,2.67,11,1,0,72.73
496,Vishnu Vinod,Right-hand bat,19,9,0,0,3,6.33,26,1,1,73.08
497,Washington Sundar,Left-hand bat,9,5,0,0,5,1.8,12,0,0,75
