striker,player_name,batting_hand,total_runs,top_score,hundreds,fiftys,matches,average,total_balls,total_six,total_four,strike_rate
210,R McLaren,Left-hand bat,159,51,0,1,13,12.23,178,1,14,89.33
211,AA Jhunjhunwala,Right-hand bat,217,53,0,1,15,14.47,218,5,19,99.54
212,P Dogra,Right-hand bat,127,41,0,0,12,10.58,141,5,4,90.07
213,A Uniyal,Left-hand bat,4,4,0,0,2,2,7,0,0,57.14
214,MS Bisla,Right-hand bat,798,92,0,4,39,20.46,737,23,93,108.28
215,YA Abdulla,Left-hand bat,0,0,0,0,1,0,1,0,0,0
216,EJG Morgan,Left-hand bat,854,66,0,4,45,18.98,725,34,72,117.79
217,JM Kemp,Right-hand bat,26,22,0,0,2,13,25,1,1,104
218,S Tyagi,Right-hand bat,3,3,0,0,1,3,4,0,0,75
219,RS Gavaskar,Left-hand bat,2,2,0,0,1,2,8,0,0,25
220,SE Bond,Right-hand bat,1,1,0,0,1,1,2,0,0,50
221,KA Pollard,Right-hand bat,2354,78,0,12,112,21.02,1674,148,158,140.62
222,S Ladda,Right-hand bat,0,0,0,0,2,0,10,0,0,0
223,DP Nannes,Right-hand bat,4,3,0,0,2,2,13,0,0,30.77
224,MJ Lumb,Left-hand bat,278,83,0,1,12,23.17,198,6,45,140.4
225,DR Martyn,Right-hand bat,19,19,0,0,1,19,26,0,1,73.08
226,S Narwal,Left-hand bat,37,23,0,0,4,9.25,29,0,6,127.59
227,AB Barath,Right-hand bat,42,33,0,0,3,14,43,1,5,97.67
228,Bipul Sharma,Left-hand bat,187,35,0,0,17,11,124,9,11,150.81
229,FY Fazal,Left-hand bat,183,45,0,0,11,16.64,179,1,22,102.23
230,AC Voges,Right-hand bat,181,45,0,0,7,25.86,143,3,15,126.57
231,MD Mishra,Right-hand bat,237,41,0,0,17,13.94,213,8,24,111.27
232,UT Yadav,Right-hand bat,143,24,0,0,29,4.93,135,5,13,105.93
233,J Theron,Right-hand bat,10,7,0,0,4,2.5,13,0,1,76.92
234,SJ Srivastava,Right-hand bat,5,3,0,0,4,1.25,5,0,0,100
235,R Sharma,Right-hand bat,66,14,0,0,19,3.47,77,3,5,85.71
236,Mandeep Singh,Right-hand bat,1112,77,0,5,58,19.17,938,18,134,118.55
237,KM Jadhav,Right-hand bat,893,69,0,3,57,15.67,684,33,72,130.56
238,SW Tait,Right-hand bat,23,11,0,0,5,4.6,26,1,1,88.46
239,KB Arun Karthik,Right-hand bat,51,19,0,0,8,6.38,53,1,4,96.23
240,KAJ Roach,Right-hand bat,10,10,0,0,1,10,9,0,1,111.11
241,PD Collingwood,Right-hand bat,203,75,0,3,7,29,159,13,9,127.67
242,CK Langeveldt,Right-hand bat,8,8,0,0,2,4,9,1,0,88.89
243,VS Malik,Right-hand bat,7,6,0,0,2,3.5,7,0,1,100
244,A Mithun,Right-hand bat,34,11,0,0,6,5.67,26,1,4,130.77
245,AP Dole,Right-hand bat,34,30,0,0,2,17,23,1,3,147.83
246,AN Ahmed,Right-hand bat,36,18,0,0,6,6,27,1,4,133.33
247,RS Sodhi,Right-hand bat,4,4,0,0,1,4,2,0,1,200
248,DE Bollinger,Left-hand bat,21,16,0,0,4,5.25,23,1,1,91.3
249,S Sriram,Left-hand bat,31,27,0,0,2,15.5,38,0,3,81.58
250,B Sumanth,Right-hand bat,35,16,0,0,4,8.75,38,0,3,92.11
251,C Madan,Right-hand bat,15,15,0,0,1,15,21,0,3,71.43
252,AG Paunikar,Right-hand bat,49,20,0,0,5,9.8,61,0,9,80.33
253,MR Marsh,Right-hand bat,225,38,0,0,14,16.07,201,14,9,111.94
254,AJ Finch,Right-hand bat,1604,88,0,13,64,25.06,1270,59,170,126.3
255,STR Binny,Right-hand bat,766,48,0,0,56,13.68,619,29,59,123.75
256,Harmeet Singh,Left-hand bat,18,14,0,0,4,4.5,12,0,3,150
257,IR Jaggi,Right-hand bat,76,28,0,0,7,10.86,100,0,6,76
258,DT Christian,Right-hand bat,420,39,0,0,31,13.55,351,18,22,119.66
259,RV Gomez,Right-hand bat,50,26,0,0,9,5.56,53,1,5,94.34
260,MA Agarwal,Right-hand bat,814,68,0,3,48,16.96,692,33,82,117.63
261,AUK Pathan,Right-hand bat,39,14,0,0,7,5.57,26,2,5,150
262,UBT Chand,Right-hand bat,300,58,0,1,20,15,314,9,32,95.54
263,DJ Jacobs,Right-hand bat,92,32,0,0,7,13.14,101,4,10,91.09
264,Sunny Singh,Right-hand bat,43,20,0,0,5,8.6,31,1,6,138.71
265,NJ Rimmington,Right-hand bat,1,1,0,0,1,1,1,0,0,100
