bowler,player_name,runs,wicket_taken,total_balls,total_six,total_four,matches,economy
299,B Kumar,2238,111,2054,54,244,2054,6.54
300,Y Gnaneswara Rao,7,0,6,0,1,6,7.02
301,S Rana,18,0,16,0,2,16,6.78
302,BA Bhatt,389,12,303,13,35,303,7.68
303,F du Plessis,16,0,6,2,0,6,16.02
305,GJ Maxwell,466,11,334,25,31,334,8.4
306,SPD Smith,5,0,2,0,1,2,15
307,MN Samuels,278,9,219,12,23,219,7.62
308,SA Yadav,8,0,6,0,1,6,7.98
309,KK Cooper,725,33,600,23,59,600,7.26
310,JP Faulkner,1744,61,1287,67,160,1287,8.16
311,HV Patel,946,34,707,36,95,707,8.04
312,DAJ Bracewell,31,3,25,2,2,25,7.44
313,DJ Harris,26,0,18,1,2,18,8.64
314,Ankit Sharma,425,12,369,18,26,369,6.9
315,SP Narine,1999,95,1956,59,158,1956,6.12
316,GB Hogg,552,23,466,21,40,466,7.08
317,RR Bhatkal,35,0,12,3,2,12,17.52
318,CJ McKay,60,1,42,1,8,42,8.58
321,Azhar Mahmood,681,29,552,18,73,552,7.38
322,P Negi,774,30,639,35,48,639,7.26
323,RJ Peterson,70,3,48,5,5,48,8.76
324,KMDN Kulasekara,115,5,107,0,16,107,6.42
325,A Ashish Reddy,386,18,270,20,26,270,8.58
326,V Pratap Singh,289,10,211,10,31,211,8.22
328,MJ Clarke,67,2,66,2,4,66,6.12
329,Gurkeerat Singh,93,5,82,3,6,82,6.78
332,K Upadhyay,79,0,56,3,9,56,8.46
333,P Awana,999,39,773,35,107,773,7.74
334,AD Russell,870,31,651,32,91,651,8.04
335,A Chandila,242,11,234,10,17,234,6.18
337,Sunny Gupta,45,0,19,3,4,19,14.22
340,GH Vihari,37,1,37,1,4,37,6
342,R Shukla,198,5,130,9,21,130,9.12
343,B Laughlin,68,1,45,2,7,45,9.06
344,AS Rajpoot,226,8,184,6,25,184,7.38
346,JD Unadkat,1293,56,995,54,113,995,7.8
347,Mohammed Shami,884,18,659,31,99,659,8.04
